title,authors,link,abstract,date,tags
GRCNN: Graph Recognition Convolutional Neural Network for Synthesizing Programs from Flow Charts,"['Lin Cheng', 'Zijiang Yang']",https://arxiv.org/pdf/2011.05980,"Program synthesis is the task to automatically generate programs based on user specification. In this paper, we present a framework that synthesizes programs from flow charts that serve as accurate and intuitive specifications. In order doing so, we propose a deep neural network called GRCNN that recognizes graph structure from its image. GRCNN is trained end-to-end, which can predict edge and nod…",2020-11-11,['cs.CV']
The Impact of Text Presentation on Translator Performance,"['Samuel Läubli', 'Patrick Simianer', 'Joern Wuebker', 'Geza Kovacs', 'Rico Sennrich', 'Spence Green']",https://arxiv.org/pdf/2011.05978,"Widely used computer-aided translation (CAT) tools divide documents into segments such as sentences and arrange them in a side-by-side, spreadsheet-like view. We present the first controlled evaluation of these design choices on translator performance, measuring speed and accuracy in three experimental text processing tasks. We find significant evidence that sentence-by-sentence presentation enabl…",2020-11-11,"['cs.CL', 'cs.HC']"
Vulnerability of the Neural Networks Against Adversarial Examples: A Survey,['Rui Zhao'],https://arxiv.org/pdf/2011.05976,"With further development in the fields of computer vision, network security, natural language processing and so on so forth, deep learning technology gradually exposed certain security risks. The existing deep learning algorithms cannot effectively describe the essential characteristics of data, making the algorithm unable to give the correct result in the face of malicious input. Based on current…",2020-11-01,"['cs.CR', 'cs.CV']"
A survey on practical adversarial examples for malware classifiers,"['Daniel Park', 'Bülent Yener']",https://arxiv.org/pdf/2011.05973,"Machine learning based solutions have been very helpful in solving problems that deal with immense amounts of data, such as malware detection and classification. However, deep neural networks have been found to be vulnerable to adversarial examples, or inputs that have been purposefully perturbed to result in an incorrect label. Researchers have shown that this vulnerability can be exploited to cr…",2020-11-06,"['cs.CR', 'cs.LG']"
Transformers for One-Shot Visual Imitation,"['Sudeep Dasari', 'Abhinav Gupta']",https://arxiv.org/pdf/2011.05970,"Humans are able to seamlessly visually imitate others, by inferring their intentions and using past experience to achieve the same end goal. In other words, we can parse complex semantic knowledge from raw video and efficiently translate that into concrete motor control. Is it possible to give a robot this same capability? Prior research in robot imitation learning has created agents which can acq…",2020-11-11,"['cs.LG', 'cs.CV', 'cs.RO']"
Real-Time Decentralized knowledge Transfer at the Edge,"['Orpaz Goldstein', 'Mohammad Kachuee', 'Dereck Shiell', 'Majid Sarrafzadeh']",https://arxiv.org/pdf/2011.05961,"Proliferation of edge networks creates islands of learning agents working on local streams of data. Transferring knowledge between these agents in real-time without exposing private data allows for collaboration to decrease learning time, and increase model confidence. Incorporating knowledge from data that was not seen by a local model creates an ability to debias a local model, or add to classif…",2020-11-11,['cs.LG']
On End-to-end Multi-channel Time Domain Speech Separation in Reverberant Environments,"['Jisi Zhang', 'Catalin Zorila', 'Rama Doddipatla', 'Jon Barker']",https://arxiv.org/pdf/2011.05958,"This paper introduces a new method for multi-channel time domain speech separation in reverberant environments. A fully-convolutional neural network structure has been used to directly separate speech from multiple microphone recordings, with no need of conventional spatial feature extraction. To reduce the influence of reverberation on spatial feature extraction, a dereverberation pre-processing…",2020-11-11,"['eess.AS', 'cs.CL']"
Counting Homomorphic Cycles in Degenerate Graphs,"['Lior Gishboliner', 'Yevgeny Levanzov', 'Asaf Shapira', 'Raphael Yuster']",https://arxiv.org/pdf/2011.05957,"Since computing most variants of the subgraph counting problem in general graphs is conjectured to be hard, it is natural to try and design fast algorithms for restricted families of graphs. One such family that has been extensively studied is that of graphs of bounded degeneracy (e.g., planar graphs). This line of work, which started in the early 80's, culminated in a recent work of Gishboliner e…",2020-11-11,"['cs.DS', 'math.CO']"
A Distributed Algorithm for Overlapped Community Detection in Large-Scale Networks,"['Dibakar Saha', 'Partha Sarathi Mandal']",https://arxiv.org/pdf/2011.05954,"Overlapped community detection in social networks has become an important research area with the increasing popularity and complexity of the networks. Most of the existing solutions are either centralized or parallel algorithms, which are computationally intensive - require complete knowledge of the entire networks. But it isn't easy to collect entire network data because the size of the actual ne…",2020-11-11,['cs.DC']
"(f,Γ)(f,Γ)-Divergences: Interpolating between ff-Divergences and Integral Probability Metrics","['Jeremiah Birrell', 'Paul Dupuis', 'Markos A. Katsoulakis', 'Yannis Pantazis', 'Luc Rey-Bellet']",https://arxiv.org/pdf/2011.05953,"We develop a general framework for constructing new information-theoretic divergences that rigorously interpolate between ff-divergences and integral probability metrics (IPMs), such as the Wasserstein distance. These new divergences inherit features from IPMs, such as the ability to compare distributions which are not absolute continuous, as well as from ff-divergences, for instance the strict…",2020-11-11,"['stat.ML', 'cs.LG']"
